card_name,set_name,type,is_kingdom_card,cost,card_text,potion,card_text_es
Familiar,Alchemy,Action-Attack,1,$3,+1 Card\n+1 Action\nEach other player gains a curse.,1,+1 Carta y +1 Acción. Cada jugador (excepto tú) gana una Maldición
Golem,Alchemy,Action,1,$4,"Reveal cards from your deck until you reveal 2 Action cards other than Golem Cards. Discard the other cards, then play the Action cards in either order.",1,Se revelan cartas del mazo hasta que aparezcan dos cartas de Acción que no sean cartas de Golem. Se juegan estas dos cartas de Acción en el orden que elijamos. El resto de cartas se descartan
Herbalist,Alchemy,Action,1,$2,"+1 Buy\n+$1\dWhen you discard this from play, you may put one of your Treasures from play on top of your deck.",0,"+1 moneda y +1 compra. Cuando se descarte esta carta, se puede poner encima del mazo la carta de Tesoro que elijas"
Philosopher's Stone,Alchemy,Treasure,1,$3,"When you play this, count your deck and discard pile. Worth $1 per 5 cards total between them (rounded down).",1,+1 Moneda por cada 5 cartas que tengamos entre el mazo y la pila de descartes
Possession,Alchemy,Action,1,$6,"The player to your left takes an extra turn after this one, in which you can see all cards he can and make all decisions for him. Any cards he would gain on that turn, you gain instead; any cards of his that are trashed are set aside and returned to his discard pile at end of turn.",1,"Al jugar esta carta no obtendremos un efecto directo, sino que terminaremos de jugar nuestro turno normalmente. Cuando este termine, tomaremos las cartas del jugador de nuestra izquierda y jugaremos un turno extra con sus cartas (incluyendo mazo y descartes)."
Scrying Pool,Alchemy,Action-Attack,1,$2,"+1 Action\nEach player (including you) reveals the top card of his deck and either discards it or puts it back, your choice. Then reveal cards from the top of your deck until revealing one that isn't an Action. Put all of your revealed cards into your han",1,"+1 Acción. Además, cada jugador (incluido tú), revela la carta superior de su mazo, y decide si descartarla o volver a ponerla encima del mazo correspondiente. A continuación se revelan cartas hasta que la carta revelada no sea una carta de Acc ión. Todas las cartas reveladas van a la mano"
Transmute,Alchemy,Action,1,$0,"Trash a card from your hand. If it is an... Action card, gain a Duchy\nTreasure card, gain a Transmute\nVictory card, gain a Gold",1,"Elimina una carta de tu mano. Si la carta eliminada es una carta de Victoria, se gana un Oro. Si la carta eliminada es una carta de Tesoro, se gana un Transmutar. Y si la carta eliminada es una carta de Acción, se gana un Ducado"
University,Alchemy,Action,1,$2,+2 Actions\nYou may gain an Action card costing up to $5.,1,+2 Acciones. Puedes ganar una carta de Acción cuyo coste máximo sea 5 monedas. V
Vineyard,Alchemy,Victory,1,$0,Worth 1VP for every 3 Action cards in your deck (rounded down).,1,Otorga 1 punto de victoria por cada 3 cartas de acción que tengamos en el mazo al final de la partida
Bank,Prosperity,Treasure,1,$7,"When you play this, it's worth $1 per Treasure card you have in play (counting this).",0,
Bishop,Prosperity,Action,1,$4,"+$1\n+1VP\nTrash a card from your hand. +VP equal to half its cost in coins, rounded down. Each other player may trash a card from his hand.",0,"Consulta la sección “Nuevas Reglas” relativa a las Fichas . Eliminar una Carta es algo opcional para los demás jugadores, pero obligatorio para ti. Cuando el orden sea importante, tú eliminas primero tu Carta, y, después, cada uno de los otros jugadores puede eliminar la suya, siguiendo el orden de juego."
City,Prosperity,Action,1,$5,"+1 Card\n+2 Actions\nIf there are one or more empty Supply piles, +1 Card. If there are two or more, +$1 and +1 Buy.",0,"Robas una Carta y dispones de dos Acciones adicionales. Si se ha agotado sólo un Mazo del Suministro, robas una Carta adicional. Si se han agotado dos o más Mazos, robas la Carta adicional y también consigues (1) para gastar y una Compra más para utilizar en la Fase de Compra."
Contraband,Prosperity,Treasure,1,$5,"Worth $3\n+1 Buy\nWhen you play this, the player to your left names a card. You can't buy that card this turn.",0,"Es una Carta de Tesoro de valor (3), como el “Oro”. Al ponerla en juego, consigues +1 Compra adicional y el jugador de tu izquierda debe nombrar una Carta, que no podrás comprar en este  Turno. Esto no impide que puedas ganar la Carta de alguna otra forma que no sea comprándola (por ejemplo, a través de un “Tesoro Escondido”)."
Counting House,Prosperity,Action,1,$5,"Look through your discard pile, reveal any number of Copper cards from it, and put them into your hand.",0,"Esta Carta te permite mirar las Cartas de tu Pila de Descartes, algo que normalmente no podrías hacer. No es necesario que muestres a los demás jugadores toda tu Pila de Descartes, sino únicamente las Cartas de “Cobre” que saques. Después de coger los “Cob res”, puedes dejar las demás Cartas de tu Pila de Descartes en el orden que quieras"
Expand,Prosperity,Action,1,$7,Trash a card from your hand. Gain a card costing up to $3 more than the trashed card.,0,"Es una Carta de Tesoro de valor (1), como el “Cobre”. Cuando la pones en juego, empiezas a revelar cartas de tu Mazo hasta descubrir una Carta de Tesoro. Si te quedas sin Cartas antes de hacerlo, tendrás que barajar tu Pila de Descartes (pero no las Cartas reveladas hasta ese momento) para poder seguir; si, finalmente, no descubres una Carta de Tes"
Forge,Prosperity,Action,1,$7,Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in coins of the trashed cards.,0,"""Las cartas que quieras"" tambien puede ser ninguna. Si no eliminas ninguna Carta, tienes que ganar una Carta de coste (0), si es posible. Adiferencia de otras Cartas, como “Expansión”, la Carta “Forja” actúa aunque no elimines ninguna Carta, puesto que sólo mira el coste total, y no el coste de ninguna Carta en concreto."
Goons,Prosperity,Action-Attack,1,$6,"+1 Buy\n+$2\nEach other player discards down to 3 cards in hand.\dWhile this is in play, when you buy a card, +1VP.",0,"Consulta la sección “Nuevas Reglas” relativa a las Fichas . Consigues 1 por cada Carta que compres, pero no obtienes  por ganar una Carta de cualquier otra manera. Los efectos de los “Matones” son acumulativos: si tienes dos “Matones” en juego y compras una Carta “Plata”, consigues 2 ."
Grand Market,Prosperity,Action,1,$6,+1 Card\n+1 Action\n+1 Buy\n+$2\dYou can't buy this if you have any Copper in play.,0,"No tienes que poner en juego todas tus Cartas de Tesoro en tu Fase de Compra. Los “Cobres” que conserves en la mano no impiden que compres un “Gran Mercado”, sólo lo impiden los “Cobres” que tengas en juego."
Hoard,Prosperity,Treasure,1,$6,"Worth $2\dWhile this is in play, when you buy a Victory card, gain a Gold.",0,"Es una Carta de Tesoro de valor 3 , como el “Oro”. Cuando ganes esta Carta, también ganarás dos “Cobres” del Suministro. Si no q uedaran dos “Cobres” en el Suministro, ganarás los que queden. Solamente ganarás los “Cobres” al ganar la carta “Hallazgo”, no cuando la pongas en juego."
King's Court,Prosperity,Action,1,$7,You may choose an Action card in your hand. Play it three times.,0,"Esta Carta es similar al “Salón del Trono” (de Dominion ), sólo que juegas la Acción tres veces en lugar de dos. Eliges una Carta de Acción que tengas en la mano, la pones en juego, la juegas de nuevo y la vuelves a jugar por tercera vez."
Loan,Prosperity,Treasure,1,$3,"Worth $1\nWhen you play this, reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.",0,"Es una Carta de Tesoro de valor (1), como  el “Cobre”. Al ponerla en juego, empiezas a revelar Cartas de tu Mazo hasta descubrir una Carta de Tesoro. En ese momento, decides si eliminas ese Tesoro o lo descartas. A continuación, descartas el resto de Cartas reveladas."
Mint,Prosperity,Action,1,$5,"You may reveal a Treasure card from your hand. Gain a copy of it.\dWhen you buy this, trash all Treasures you have in play.",0,"Al comprar esta Carta, debes eliminar todas las Cartas de Tesoro que tengas en juego. Pero no las Cartas de Tesoro que estén en tu mano o en cualquier otra parte; únicamente las que estén en juego. Si compras varias Cartas en un Turno, debes eliminar los Tesoros al comprar el “Acuñador”, pero sigues disponiendo de las Monedas que te han proporciona"
Monument,Prosperity,Action,1,$4,+$2\n+1VP,0,Consulta la sección “Nuevas Reglas” relativa a las Fichas
Mountebank,Prosperity,Action-Attack,1,$5,"+$2\nEach other player may discard a Curse. If he doesn't, he gains a Curse and a Copper.",0,"Habrá que resolver el Ataque a los demás jugadores en orden, cuando sea importante (por ejemplo, porque se estén agotando las Cartas de “Maldición” o “Cobre”). Cada jugador debe de cidir si descarta una “Maldición” de su mano o si no lo hace."
Peddler,Prosperity,Action,1,$8*,"+1 Card\n+1 Action\n+$1\dDuring your Buy phase, this costs $2 less per Action card you have in play, but not less than $0.",0,"La mayoría de las veces, esta Carta cuesta (8). Pero en la Fase de Compra, costará (2) menos por cada Carta de Acción que tengas en juego. El coste debe aplicarse a todas las Cartas “Buhonero”, incluyendo las que estén en las manos de los jugadores o en sus Mazos. Y nunca puede costar menos de ( 0)."
Quarry,Prosperity,Treasure,1,$4,"Worth $1\dWhile this is in play, Action cards cost $2 less, but not less than $0.",0,"Es una Carta de Tesoro de valor (1), como el “Cobre”. Mientras esté en juego, cada Carta de Acción te costará (2) menos, hasta un mínimo de (0). El efecto es acumulativo: si juegas dos “Canteras” durante tu Fase de Compra, la Carta “Corte Real” sólo te costará (3), en lugar de l os (7) habituales."
Rabble,Prosperity,Action-Attack,1,$5,"+3 Cards\nEach other player reveals the top 3 cards of his deck, discards the revealed Actions and Treasures, and puts the rest back on top in any order he chooses.",0,"Los demás jugadores tendrán que barajar si es necesario, para poder revelar las 3 Cartas, o revelar las que puedan si tuvieran menos de 3 Cartas. Las Cartas de Tesoro y de Acción reveladas se descartan y el resto de Cartas descubiertas se colocan de nuevo sobre el Mazo, en el orden que quiera el jugador atacado."
Royal Seal,Prosperity,Treasure,1,$5,"Worth $2\dWhile this is in play, when you gain a card, you may put that card on top of your deck.",0,"Es una Carta de Tesoro de valor (2), como la “Plata”. Mientras esté en juego, su efecto se aplica a cada Carta que ganes (ya sea por compra o  de cualquier otra forma), decidiendo individualmente si la pones encima de tu Mazo o no."
Talisman,Prosperity,Treasure,1,$4,"Worth $1\dWhile this is in play, when you buy a card costing $4 or less that is not a Victory card, gain a copy of it.",0,"Es una Carta de Tesoro de valor 1 MONEDA, como el “Cobre”. Mientras esté en juego, cada vez que compres una Carta que no sea de Victoria y que cueste (4) o menos, ganas una segunda copia de la Carta comprada. Si no quedan más Cartas, no ganarás nada. La Carta ganada, como es habitual, procede de l Suministro y se coloca en tu Pila de Descartes."
Trade Route,Prosperity,Action,1,$3,"+1 Buy\n+$1 per token on the Trade Route mat.\nTrash a card from your hand.\dSetup: Put a token on each Victory card Supply pile. When a card is gained from that pile, move the token to the Trade Route mat.",0,"Te proporciona una Compra adicional para utilizar en tu Fase de Compra. Yconsigues +(1) por cada Marcador de Moneda que haya sobre el Tablero de Ruta Comercial. Acontinuación, tienes que eliminar una Carta de tu mano. Si no tienes Cartas en la mano, no eliminas ninguna."
Vault,Prosperity,Action,1,$5,"+2 Cards\nDiscard any number of cards. +$1 per card discarded. Each other player may discard 2 cards. If he does, he draws a card.",0,"Descártate de cuantas cartas quieras de tu mano y roba tantas cartas como las que descartaste. Después, descártate de tantas cartas como quieras (incluidas las cartas que robaste) y consigue + 1 MONEDA por cada carta que hubieras descartado esta segunda vez"
Venture,Prosperity,Treasure,1,$5,"Worth $1\nWhen you play this, reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.",0,
Watchtower,Prosperity,Action-Reaction,1,$3,"Draw until you have 6 cards in hand.\dWhen you gain a card, you may reveal this from your hand. If you do, either trash that card, or put it on top of your deck.",0,"Al jugarla, empiezas a robar Cartas, de una en una, hasta tener 6 Cartas en la mano. Si ya tuvieras 6 ó más Cartas en la mano al poner en juego la “Atalaya”, no tendrás que robar ninguna. Cuando ganes una Carta, incluso en el Turno de otro jugador, puedes mostrar una “Atalaya” de tu mano para eliminar la Carta ganada o ponerla encima de tu Mazo."
Worker's Village,Prosperity,Action,1,$4,+1 Card\n+2 Actions\n+1 Buy,0,"Robas una Carta, dispones de dos Acciones adicionales en este Turno y puedes comprar una Carta más en la Fase de Compra de tu Turno"
Bag of Gold,Cornucopia,Action-Prize,0,$0*,"+1 Action\nGain a Gold, putting it on top of your deck.\n(This is not in the Supply.)",0,"La carta de “Oro” que ganas procede del Suministro y se pone sobre tu Mazo. Si no hubiera ninguna Carta en tu Mazo, se convertirá en la  única Carta del mismo. Si no queda ninguna Carta de “Oro” en el Suministro, no ganarás ninguna. Se trata de una Carta de Premio; consulta la sección “Nuevas Reglas”"
Diadem,Cornucopia,Treasure-Prize,0,$0*,"Worth $2\nWhen you play this, +$1 per unused Action you have (Action, not Action card).\n(This is not in the Supply.)",0,"Es una Carta de Tesoro de valor 2 MONEDAS, como la “Plata”. Debes jugarla en tu Fase de Compra, como cualquier Tesoro. Al hacerlo, obtienes +1 MONEDAS por cada Acción que no hayas utilizado en tu Fase de Acción. Y hablamos de Acciones, no de Cartas de Acción."
Fairgrounds,Cornucopia,Victory,1,$6,Worth 2VP for every 5 differently named cards in your deck (round down).,0,"Al final de la partida, cada Carta de “Recinto Ferial” te proporcionará 2 PV por cada 5 Cartas con nombre diferente que haya en tu Mazo, redondeando hacia abajo. Así, si tienes 0-4 Cartas diferentes, obtendrás 0 PV ; si tienes 5-9 cartas diferentes, conseguirás 2 PV ; si tienes 10-14 Cartas distintas, ganarás 4 PV ; por 15 -19 Cartas diferentes, 6 "
Farming Village,Cornucopia,Action,1,$4,+2 Actions\nReveal cards from the top of your deck until you reveal an Action or Treasure card. Put that card into your hand and discard the other cards.,0,"Al ponerla en juego, empiez as a revelar Cartas de tu Mazo hasta descubrir una Carta de Acción o de Tesoro. Si te quedaras sin Cartas antes de descubrir una Acción o un Tesoro, tendrás que barajar tu Pila de Descartes (pero no las cartas reveladas hasta ese momento) para poder continuar; si al final no encuentras ninguna Carta de Acción o de Tesoro"
Followers,Cornucopia,Action-Attack-Prize,0,$0*,+2 Cards\nGain an Estate. Each other player gains a Curse and discards down to 3 cards in hand.\n(This is not in the Supply.),0,"Haz las cosas en el orden que aparecen: primero, roba 2 Cartas; a continuación, gana una Carta de “Finca” del Suministro y ponla en tu Pila de Descartes; después, los demás jugadores ganan cada uno una Carta de “Maldición” del Suministro (que deben poner en sus respectivas Pilas de Descartes); y por último, los demás jugadores deben descartarse has"
Fortune Teller,Cornucopia,Action-Attack,1,$3,+$2\nEach other player reveals cards from the top of his deck until he reveals a Victory or Curse card. He puts it on top and discards the other revealed cards.,0,"Cada uno de los demás Jugadores tendrá que revelar Cartas de su Mazo, hasta descubrir una Carta de Victoria o Maldición. Si el jugador se quedara sin Cartas antes de descubrir una, tendrá que barajar su Pila de Descartes (pero no las cartas reveladas hasta ese momento) para poder continuar; si al final no encontrara ninguna Carta de Victoria o Mald"
Hamlet,Cornucopia,Action,1,$2,"+1 Card\n+1 Action\nYou may discard a card; if you do, +1 Action.\nYou may discard a card; if you do, +1 Buy.",0,"Primero, roba una Carta y consigue +1 Acción adicional. A continuación, puedes descartar una Carta para conseguir +1 Acción adicional; o puedes descartar una Cart a para conseguir +1 Compra adicional; o puedes descartar dos Cartas para conseguir +1 Acción y +1 Compra adicionales; o incluso puedes no descartar ninguna Carta."
Harvest,Cornucopia,Action,1,$5,"Reveal the top 4 cards of your deck, then discard them. +$1 per differently named card revealed.",0,"Revela las 4 Cartas superiores de tu Mazo. Si no hubiera suficientes Cartas en el Mazo, revela las que puedas, baraja  tu Pila de Descartes (pero no las Cartas reveladas hasta ese momento) y revela las Cartas que falten. Si sigue sin haber Cartas suficientes en tu Mazo, limítate a revelar todas las que puedas."
Horn of Plenty,Cornucopia,Treasure,1,$5,"Worth $0\nWhen you play this, gain a card costing up to $1 per differently named card you have in play, counting this. If it's a Victory card, trash this.",0,
Horse Traders,Cornucopia,Action-Reaction,1,$4,"+1 Buy\n+$3\nDiscard 2 cards.\dWhen another player plays an Attack card, you may set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",0,"Al poner la Carta e n juego, consigues +1 Compra y +3 MONEDAS, pero debes descartar 2 Cartas de tu mano. Si no tuvieras suficientes Cartas en la mano, descarta las que puedas; sigues consiguiendo +1 Compra y + 3 MONEDAS igualmente."
Hunting Party,Cornucopia,Action,1,$5,+1 Card\n+1 Action\nReveal your hand. Reveal cards from your deck until you reveal a card that isn't a duplicate of one in your hand. Put it into your hand and discard the rest.,0,"Primero, robas una Carta y obtienes +1 Acción. A continuación, revela tu mano y empieza a revelar Cartas de tu Mazo, hasta descubrir una que no sea un duplicado de cualquier Carta que tuvieras en la mano. La Carta no será un duplicado cuando tenga el nombre diferente respecto a cualquier Carta de tu mano."
Jester,Cornucopia,Action-Attack,1,$5,"+$2\nEach other player discards the top card of his deck. If it's a Victory card he gains a Curse. Otherwise either he gains a copy of the discarded card or you do, your choice.",0,"Cualquier jugador que no tenga ninguna Carta en su Mazo tendrá que barajar su Pila de Descartes para formar un nuevo Mazo y poder descartar una Carta. Si no tuviera Cartas para hacerlo, no tendrá que descartarse de ninguna."
Menagerie,Cornucopia,Action,1,$3,"+1 Action\nReveal your hand. If there are no duplicate cards in it, +3 Cards. Otherwise, +1 Card.",0,"Si tienes en tu mano dos o más Cartas con el mismo nombre, sólo robarás una Carta; pero si todas las Cartas de tu mano son diferentes, robarás tres Cartas. Sólo deben tenerse en cuenta los nombres de las Cartas; y así, por ejemplo, “Cobre” y “Plata” se consideran Cartas diferentes, aunque ambas sean Cartas de Tesoro."
Princess,Cornucopia,Action-Prize,0,$0*,"+1 Buy\dWhile this is in play, cards cost $2 less, but not less than $0.\n(This is not in the Supply.)",0,"Esta Carta abarata el coste de todas las Cartas (hasta un mínimo de 0 MONEDAS) mientras se encuentre en juego. Cuando deje de estar en juego, las Cartas volverán a tener su coste normal. Este efecto se aplica a las Cartas que se encuentren en cualquier parte: las Cartas del Suministro, las de la mano y las del Mazo."
Remake,Cornucopia,Action,1,$4,"Do this twice: Trash a card from your hand, then gain a card costing exactly $1 more than the trashed card.",0,
Tournament,Cornucopia,Action,1,$4,"+1 Action\nEach player may reveal a Province from his hand.\nIf you do, discard it and gain a Prize (from the Prize pile) or a Duchy, putting it on top of your deck.\nIf no-one else does, +1 Card, +$1.",0,"Primero, obtienes +1 Acción. Luego, cada jugador, incluido tú, puede revelar una Carta de “Provincia” de su mano. A continuación, si tú has revelado una “Provincia”, la descartas, para ganar la Carta de Premio que elijas o bien una Carta de “Ducado”, poniendo la Carta que sca encima de tu Mazo."
Trusty Steed,Cornucopia,Action-Prize,0,$0*,Choose two: +2 Cards; or +2 Actions; or +$2; gain 4 Silvers and put your deck into your discard pile.,0,"Primero, elige dos opciones distintas de las cuatro posibles. A continuación, lleva a cabo las opc iones elegidas, en el mismo orden en que aparecen. Así, por ejemplo, si eliges la primera y la última de las opciones, primero robarás las dos Cartas y luego ganarás las Cartas de “Plata” y pondrás tu Mazo en tu Pila de Descartes."
Young Witch,Cornucopia,Action-Attack,1,$4,"+2 Cards\nDiscard 2 cards. Each other player may reveal a Bane card from his hand. If he doesn't, he gains a Curse.\dSetup: Add an extra Kingdom card pile costing $2 or $3 to the Supply. Cards from that pile are Bane cards.",0,"Esta Carta obliga a preparar en el Sumi nistro un mazo adicional, conocido como mazo de Perdición (consulta la sección “Preparación”). Este mazo adicional se considera un mazo del Suministro a todos los efectos: sus Cartas pueden ser compradas, o ganadas a través de otras  Cartas (como la Carta “ Cornucopia”) y se tiene en cuenta cuando se agota de"
Border Village,Hinterlands,Action,1,$6,"+1 Card\n+2 Actions\dWhen you gain this, gain a card costing less than this.",0,"Al ponerlo en juego, robas una Carta y puedes realizar dos Acciones más en este Turno. Cuando ganes esta Carta, también ganarás otra Carta del Suministro que tenga un coste menor que el coste del “Pueb lo Fronterizo”."
Cache,Hinterlands,Treasure,1,$5,"Worth $3\dWhen you gain this, gain two Coppers.",0,
Cartographer,Hinterlands,Action,1,$5,+1 Card\n+1 Action\nLook at the top 4 cards of your deck. Discard any number of them. Put the rest back on top in any order.,0,"Primero, roba una Carta. Luego mira las 4 Cartas superiores de tu Mazo. Si quedaran menos de 4 Cartas en tu Mazo, mira las que queden, baraja tu Pila de Descartes (que no incluirá esas Cartas) para formar un nuevo Mazo y seguir mirando las Cartas que te falten. Si siguiera sin haber Cartas suficientes, limítate a mirar tantas Cartas como puedas."
Crossroads,Hinterlands,Action,1,$2,"Reveal your hand.\n+1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.",0,"Primero revela tu mano y luego roba una Carta por cada Carta de Victoria mostrada (si hay  alguna). Todas las Cartas que enseñes permanecerán en tu mano. Cualquier Carta que sea de varios tipos, siempre que uno de ellos sea Victoria, se considera una Carta de Victoria."
Develop,Hinterlands,Action,1,$3,"Trash a card from your hand.\nGain a card costing exactly $1 more than it and a card costing exactly $1 less than it, in either order, putting them on top of your deck.",0,"Primero, elimina una Carta de tu mano, si tienes alguna. La propia Carta “Desarrollo” jugada ya no se encontrará en tu mano, por lo que no podrá eliminarse a sí misma (aunque sí podrá eliminar otra Carta “Desarr ollo” que tengas en la mano)."
Duchess,Hinterlands,Action,1,$2,"+$2\nEach player (including you) looks at the top card of his deck, and discards it or puts it back.\dIn games using this, when you gain a Duchy, you may gain a Duchess.",0,"Al poner en juego esta Carta, consigues + 2 y cada jugador (incluido tú) debe mirar la Carta superior de su propio Mazo y elegir descartarla o devolverla nuevamente a la parte superior del Mazo. Cualquier jugador que no tenga ninguna Carta en su Mazo tendrá que barajar su Pila de Descartes primero; si aún así, el jugador sigue sin Cartas en su Mazo"
Embassy,Hinterlands,Action,1,$5,"+5 Cards\nDiscard 3 cards.\dWhen you gain this, each other player gains a Silver.",0,"Al poner esta Carta en juego, robas cinco Cartas, para descartar a continuación tres. Las tres Cartas descartadas pueden ser de las que tuvieras en la mano y/o de las que acabas de robar. Tendrás que descartar las tres Cartas (si es posible), aunque no hay as sido capaz de robar primero cinco Cartas (porque no hubiera suficientes entre tu Mazo y tu"
Farmland,Hinterlands,Victory,1,$6,"Worth 2VP\dWhen you buy this, trash a card from your hand. Gain a card costing exactly $2 more than the trashed card.",0,"Se trata de una Carta de Victoria, no de una Carta de Acción. Cada “Tierra de Labranza” que tengas te proporcionará 2 PV al final de la partida. Al comprar una “Tierra de Labranza”, tendrás que eliminar una Carta de tu mano (si es posible)."
Fool's Gold,Hinterlands,Treasure-Reaction,1,$2,"If this is the first time you played a Fool's Gold this turn, this is worth $1, otherwise it's worth $4.\dWhen another player gains a Province, you may trash this from your hand. If you do, gain a Gold, putting it on your deck.",0,"Es, a la vez, una Carta de Tesoro y una Reacción. Puedes ponerla en juego durante la Fase de Compra de tu Turno, como cualquier otro Tesoro. Al hacerlo, su valor será 1 si es el primer “Oro Falso” que juegas este Turno, o valdrá 4 en cualquier otro caso."
Haggler,Hinterlands,Action,1,$5,"+$2\dWhile this is in play, when you buy a card, gain a card costing less than it that is not a Victory card.",0,"Al poner en juego esta Carta, consigues + 2 . Mientras siga en juego, cada vez que compres una Carta, ganarás una Carta más barata que la Carta comprada, que no sea una Carta de Victoria. Por ejemplo, podrías comprar una “Provincia” y ganar un “Oro” gracias al “Regateador”. Ganar la Carta no es algo opcional, tienes que hacerlo."
Highway,Hinterlands,Action,1,$5,"+1 Card\n+1 Action\dWhile this is in play, cards cost $1 less, but not less than $0.",0,"Esta Carta reduce el coste de todas las Cartas (hasta un mínimo de 0 ), mientras esté en juego. Cuando deje de estar en juego, dejará de abaratar el coste de las Cartas. Este menor coste afecta a las Cartas que se encuentren en cualquier parte: las Cartas del Suministro, las Cartas de la mano o las Cartas de los Mazos."
Ill-Gotten Gains,Hinterlands,Treasure,1,$5,"Worth $1\nWhen you play this, you may gain a Copper, putting it into your hand.\dWhen you gain this, each other player gains a Curse.",0,"Se trata de una Carta de Tesoro, de valor 1 , como el “Cobre”. Al poner la Carta en juego, puedes ganar un “Cobre”. El “Cobre” ganado debe proceder del Suministro y se colocará directamente en tu mano, con lo que podrás utilizarlo inmediatamente. Si no quedara ninguna Carta de “Cobre” en el Suministro, no podrás ganarlo."
Inn,Hinterlands,Action,1,$5,"+2 Cards\n+2 Actions\nDiscard 2 cards.\dWhen you gain this, look through your discard pile (including this), reveal any number of Action cards from it, and shuffle them into your deck.",0,"Al poner en juego esta Carta, robas 2 Cartas, consigues +2 Acciones adicionales y luego descartas 2 Cartas. Las Cartas que descartes pueden ser de las que tuvieras en la mano y/o de las que acabas de robar. Tendrás que descartar las 2 Cartas (si tienes), aunque no hayas sido cap az de robar previamente 2 Cartas."
Jack of All Trades,Hinterlands,Action,1,$4,Gain a Silver.\nLook at the top card of your deck; discard it or put it back.\nDraw until you have 5 cards in hand.\nYou may trash a card from your hand that is not a Treasure.,0,"Esta Carta hace cuatro cosas distintas, en el orden en que aparecen en el texto, y tendrás que hacerlas todas (menos la última, que es opcional). En primer lugar, ganas una “Plata” del Suminis tro, que se coloca en tu Pila de Descartes. Si no quedara ninguna “Plata” en el Suministro, no podrás ganarla."
Mandarin,Hinterlands,Action,1,$5,"+$3\nPut a card from your hand on top of your deck.\dWhen you gain this, put all Treasures you have in play on top of your deck in any order.",0,"Al poner en juego esta Carta, consigues + 3 y pones una Carta de tu mano encima de tu Mazo. Si no te queda ninguna Carta en la mano, no podrás ponerla sobre tu Mazo. Si no quedaba ninguna Carta en tu Mazo, la Carta de tu mano que pongas en él será la única Carta del Mazo."
Margrave,Hinterlands,Action-Attack,1,$5,"+3 Cards\n+1 Buy\nEach other player draws a card, then discards down to 3 cards in hand.",0,"Robas 3 Cartas y obtienes +1 Compra. Los demás jugadores robarán una Carta cada uno, y luego se descartarán hasta quedarse con tres Cartas en la mano. Robar la Carta no es algo opcional para ellos. Un jugador que solo tenga tres Cartas (o menos) en la mano, después de robar la Carta, no tendrá que descartarse de ninguna"
Noble Brigand,Hinterlands,Action-Attack,1,$4,"+$1\nWhen you buy this or play it, each other player reveals the top 2 cards of his deck, trashes a revealed Silver or Gold you choose, and discards the rest. If he didn't reveal a Treasure, he gains a Copper. You gain the trashed cards.",0,"Al poner en juego esta Carta, consigues +1 DINERO. Al comprar la Carta y cada vez que la pongas en juego, cada uno de los demás jugadores debe revelar las dos primeras Cartas de su Mazo, eliminando una “Plata” o un “Oro” que haya mostrado (a elección tuya) y descartando el resto."
Nomad Camp,Hinterlands,Action,1,$4,"+1 Buy\n+$2\dWhen you gain this, put it on top of your deck.",0,"Al ganar esta Carta, se coloca sobre tu Mazo, en lugar de ir a tu Pila de Descartes. Y esto ocurre tanto si compras el “Campamento Nómada”, como si ganas la Carta de cualquier otra forma. Si no quedara ninguna otra Carta en tu Mazo, el “Campamento Nómada” se convertirá en la única Carta del mismo"
Oasis,Hinterlands,Action,1,$3,+1 Card\n+1 Action\n+$1\nDiscard a card.,0,
Oracle,Hinterlands,Action-Attack,1,$3,"Each player (including you) reveals the top 2 cards of his deck, and you choose one: either he discards them, or he puts them back on top in an order he chooses.\n+2 Cards",0,"En primer lugar, cada jugador (incluido tú) re vela las dos primeras Cartas de su Mazo y descarta ambas Cartas o las devuelve al Mazo nuevamente, a elección tuya. El jugador que devuelva sus Cartas al Mazo podrá ponerlas en el orden que él quiera, sin que tenga que declararlo."
Scheme,Hinterlands,Action,1,$3,"+1 Card\n+1 Action\nAt the start of Clean-up this turn, you may choose an Action card you have in play. If you discard it from play this turn, put it on your deck.",0,"Al poner en juego esta Carta, robas una Carta, consigues +1 Acción adicional y preparas un efecto que se activará en ese mismo Turno, algo más tarde, concretamente al comienzo de tu Fase de Mantenimiento. Justo en ese momento, y de manera opcional, podrás elegir una Carta de Acción de las que tengas en juego."
Silk Road,Hinterlands,Victory,1,$4,Worth 1VP for every 4 Victory cards in your deck (round down).,0,"Se trata de una Carta de Victoria, no de una Carta de Acción. No produce ningún efecto hasta el final de la  partida, cuando cada “Ruta de la Seda” que tengas te proporcionará 1 PV por cada cuatro Cartas de Victoria que tengas en tu Mazo (contando todas tus Cartas, incluso las de tu Pila de Descartes)."
